"filename", "language", "C++", "Markdown", "CMake", "Python", "Shell Script", "comment", "blank", "total"
"/home/cycloidzzz/CodeProject/miniTCP/src/ethernet/arp_impl.h", "C++", 56, 0, 0, 0, 0, 13, 12, 81
"/home/cycloidzzz/CodeProject/miniTCP/src/ethernet/device.cc", "C++", 42, 0, 0, 0, 0, 0, 9, 51
"/home/cycloidzzz/CodeProject/miniTCP/src/ethernet/device.h", "C++", 23, 0, 0, 0, 0, 24, 13, 60
"/home/cycloidzzz/CodeProject/miniTCP/src/ethernet/device_impl.cc", "C++", 162, 0, 0, 0, 0, 18, 32, 212
"/home/cycloidzzz/CodeProject/miniTCP/src/ethernet/device_impl.h", "C++", 60, 0, 0, 0, 0, 3, 16, 79
"/home/cycloidzzz/CodeProject/miniTCP/src/ethernet/ethkernel.cc", "C++", 120, 0, 0, 0, 0, 61, 36, 217
"/home/cycloidzzz/CodeProject/miniTCP/src/ethernet/ethkernel.h", "C++", 45, 0, 0, 0, 0, 1, 8, 54
"/home/cycloidzzz/CodeProject/miniTCP/src/ethernet/packetio.cc", "C++", 16, 0, 0, 0, 0, 0, 6, 22
"/home/cycloidzzz/CodeProject/miniTCP/src/ethernet/packetio.h", "C++", 18, 0, 0, 0, 0, 29, 8, 55
"/home/cycloidzzz/CodeProject/miniTCP/src/network/ip.cc", "C++", 120, 0, 0, 0, 0, 31, 22, 173
"/home/cycloidzzz/CodeProject/miniTCP/src/network/ip.h", "C++", 25, 0, 0, 0, 0, 60, 12, 97
"/home/cycloidzzz/CodeProject/miniTCP/src/network/routing.cc", "C++", 62, 0, 0, 0, 0, 0, 13, 75
"/home/cycloidzzz/CodeProject/miniTCP/src/network/routing.h", "C++", 20, 0, 0, 0, 0, 0, 9, 29
"/home/cycloidzzz/CodeProject/miniTCP/src/network/routing_impl.cc", "C++", 222, 0, 0, 0, 0, 4, 26, 252
"/home/cycloidzzz/CodeProject/miniTCP/src/network/routing_impl.h", "C++", 68, 0, 0, 0, 0, 14, 16, 98
"/home/cycloidzzz/CodeProject/miniTCP/src/transport/channel.h", "C++", 56, 0, 0, 0, 0, 3, 10, 69
"/home/cycloidzzz/CodeProject/miniTCP/src/transport/flowcontrol.cc", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/home/cycloidzzz/CodeProject/miniTCP/src/transport/flowcontrol.h", "C++", 13, 0, 0, 0, 0, 0, 3, 16
"/home/cycloidzzz/CodeProject/miniTCP/src/transport/socket.cc", "C++", 202, 0, 0, 0, 0, 49, 52, 303
"/home/cycloidzzz/CodeProject/miniTCP/src/transport/socket.h", "C++", 170, 0, 0, 0, 0, 49, 49, 268
"/home/cycloidzzz/CodeProject/miniTCP/src/transport/tcp_kernel.cc", "C++", 156, 0, 0, 0, 0, 9, 41, 206
"/home/cycloidzzz/CodeProject/miniTCP/src/transport/tcp_kernel.h", "C++", 36, 0, 0, 0, 0, 70, 18, 124
"/home/cycloidzzz/CodeProject/miniTCP/test_gtest.cc", "C++", 18, 0, 0, 0, 0, 0, 4, 22
"Total", "-", 3065, 374, 75, 71, 33, 536, 1122, 5276
